"GROUP","TIME","HORIZONTAL","VERTICAL","CIRCLE","LEGATO","NOTE","SLUR UP","SLUR DOWN","BASS KEY","TREBLE KEY","SHARP","FLAT","MARCATO","NATURAL","DIMINUENDO","NUMBER ONE","NUMBER TWO","STACCATO","SULLARCO","UPPERMORDENT"
1,1,13.2,0,0,0,0,-2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,13.2,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,13.2,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,13.2,1.3,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,0,0,0,0,-5.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,0,0,0,0,0,-4.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,0,0,0,0,0,-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,0,0,0,0,0,-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,0,0,0,0,0,-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,0,0,0,0,0,-2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,0,0,0,0,0,-2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11,0,0,0,0,0,-2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12,0,0,0,0,0,-2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13,0,0,0,0,0,-2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14,0,0,0,0,0,-2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,15,0,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,0,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17,0,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,18,0,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,19,0,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,0,0,0,0,0,0,-1.1,0,0,0,0,0,0,0,2.1,0,0,0,0
2,21,0,0,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0
2,22,5.1,0,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0
2,23,5.1,3.1,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0
2,24,0,0,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0
2,25,0,0,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0
2,26,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,0,0,0,0,0,0
2,27,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,0,0,0,0,0,0
2,28,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,0,0,0,0,0,0
2,29,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,0,0,0,0,0,0
2,30,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,0,0,0,0,0,0
2,31,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,0,0,0,0,0,0
2,32,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,0,0,0,0,0,0
2,33,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,0,0,0,0,0,0
2,34,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,0,0,0,0,0,0
2,35,0,0,0,0,0,0,-3.1,0,0,0,0,0,0,0,0,0,0,0,0
2,36,0,0,0,0,0,0,-3.1,0,0,0,0,0,0,0,0,0,0,0,0
2,37,0,0,0,0,0,0,-3.1,0,0,0,0,0,0,0,0,0,0,0,0
2,38,0,0,0,0,0,0,-3.1,0,0,0,0,0,0,0,0,0,0,0,0
2,39,0,0,0,0,0,0,-4.1,0,0,0,0,0,0,0,0,0,0,0,0
2,40,0,0,0,0,0,0,-4.1,0,0,0,0,0,0,0,0,0,0,0,0
2,41,0,0,0,0,0,0,-5.1,0,0,0,0,0,0,0,0,0,0,0,0
2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1,0,0,0
3,1,3.2,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0
3,2,3.2,0,0,0,0,0,0,4.2,3.2,0,0,0,0,0,0,0,0,0,0
3,3,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,3.2,0,0,0,0,0,-6.1,0,0,-3.1,8.1,0,0,3.1,0,0,3.2,0,0
3,5,3.2,0,0,0,0,0,-7.1,0,0,0,0,0,0,3.1,0,0,0,0,0
3,6,3.2,0,0,0,0,0,-8.1,0,0,0,0,0,0,3.1,0,0,0,0,0
3,7,3.2,0,0,0,0,-8.1,-8.1,0,0,0,0,0,0,3.1,0,0,0,0,0
3,8,3.2,0,0,0,0,-8.1,0,0,0,0,0,0,0,3.1,0,0,0,0,0
3,9,3.2,0,0,0,0,-8.1,0,0,0,0,0,0,0,3.1,-5.1,0,0,0,0
3,10,3.2,0,0,0,0,-7.1,0,0,0,0,0,0,0,3.1,0,0,0,0,0
3,11,3.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,0,0
4,1,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,0,0,2.1,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0
